name,blurb,goal,pledged,usd_pledged,backers_count,country,currency,created_at,launched_at,deadline,staff_pick,spotlight,creator,is_starrable,state,category,is_liked,is_disliked,url,campaign_day_length
Aquilae:Expanded Bestiary of the Realm (Pathfinder/5E/OSRIC),"8 huge, full-color, hardcover books describing more than 1,300 monsters, each in a wide variety of difficulties/CRs, for 5E/Pathfinder.",2000.0,13335.0,13335.0,94,US,USD,2018-04-18,2018-05-12,2018-06-11,False,True,J. Evans Payne,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/infiniumgamestudio/aquilae-expanded-bestiary-of-the-realm-pathfinder,30
Goliath Coins - RPG Characters and Monsters,"Incredibly detailed, large metal coins inspired by D&D 1E - 5E, Pathfinder, and other fantasy themed role playing games.",1000.0,13248.0,13248.0,196,US,USD,2021-06-27,2021-08-17,2021-09-16,False,True,Mythic Nation,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/1719872687/goliath-coins-rpg-characters-and-monsters,30
Limitless Side Quests Quickstarter (11 short 5E adventures),"A PDF and Print bundle of 11 5E side quests, each suitable for one night's play.",900.0,13200.0,13200.0,748,US,USD,2020-02-26,2020-03-03,2020-03-21,False,True,Limitless Adventures,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/limitless-adventures/limitless-side-quests-quickstarter-11-short-5e-adventures,18
Ekemon's Exotic Mounts | A 5e Compatible Supplement,"A collection of 30 new exotic mounts for use with your favorite TTRPGs. Includes lore, statistics, artwork, and more!",1000.0,13200.0,13200.0,539,US,USD,2021-03-03,2021-04-05,2021-05-05,False,True,TheAlpineDM,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/exoticmounts/ekemons-exotic-mounts-a-5e-compatible-supplement,30
Savage Company campaign setting for Pathfinder and 5e,"Hundreds of pages of Guns, Orcs, Vehicles, Stories, and Military Action, all fully compatible with the Pathfinder Roleplaying Game",1700.0,13141.0,13141.0,211,US,USD,2019-09-14,2019-10-04,2019-12-03,False,True,SHM Publishing,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/shmpublishing/savage-company-campaign-setting-for-the-pathfinder-rpg,60
Traveling Encounters Vol. 2 (5e),"Exciting, quirky, and unexpected encounters that make use of those neglected proficiencies, tools, languages, and background features!",18330.0,13105.01,13105.01,345,US,USD,2021-08-06,2021-10-05,2021-12-04,False,False,Jerry Joe Seltzer,True,live,Tabletop Games,False,False,https://www.kickstarter.com/projects/calltoadventure/traveling-encounters-vol-2,60
The Chronicles of Aeres: A classical fantasy setting for 5E,"A nostalgic, old-school campaign setting for 5th Edition roleplaying! Inspired by the golden age of 20th century fantasy and RPGs.",4500.0,13096.0,13096.0,335,US,USD,2020-11-30,2021-01-01,2021-01-31,False,True,Greg Lambert,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/aeres/the-chronicles-of-aeres-a-classical-fantasy-setting-for-5e,30
5e Monster Lairs - A Book of Monster Themed Mini Dungeons,A book of mini dungeons for Dungeons and Dragons 5th edition. Each dungeon is themed after a different monster.,500.0,13088.0,13088.0,555,US,USD,2019-11-16,2020-01-14,2020-02-13,False,True,Cameron Wright,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/246247310/5e-monster-lairs-a-book-of-monster-themed-mini-dungeons,30
We Ain't Afraid Of No Ghost: Halloween Horror For 5E,A softcover book of horror-themed D&D resources; campaign ending just in time for Halloween!,500.0,10109.0,13068.1186108,477,GB,GBP,2020-09-24,2020-10-20,2020-10-30,False,True,Morrus,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/enworld/we-aint-afraid-of-no-ghosts-halloween-horror-for-5e,10
D&D Adventures: 5e Side Quests and Full Size Maps,"A book of  side quests for the tabletop game D&D 5th edition, featuring encounter maps with Map Shields to protect them.",500.0,12989.0,12989.0,286,US,USD,2020-06-08,2020-09-28,2020-10-28,False,True,Cameron Wright,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/246247310/5e-side-quests,30
Quests of Doom 3 - Adventures Worth Winning for 5E and S&W!,The latest addition to a series that will change your gaming sessions forever! 200+ pages of awesome adventures by the industry's best!,10000.0,12962.5,12962.5,396,US,USD,2016-03-14,2016-03-15,2016-04-18,False,True,Frog God Games,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/froggodgames/quest-of-doom-3-adventures-worth-winning-for-5e-an,34
The Folio #8 The Hidden Valoria,"Explore, build, and adventure in Dwarven Forge's Mythras city of Valoria! Folio #8 is an adventure module featuring 5E & 1E mechanics!",5000.0,12961.0,12961.0,320,US,USD,2016-02-29,2016-03-05,2016-03-25,False,True,Scott Taylor,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/563681582/the-folio-8-the-hidden-valoria,20
SideQuests 5: More Easy Adventures for 5E Dungeons & Dragons,The fifth collection of SideQuests oneshot adventure modules for Fifth Edition DnD,1000.0,16048.29,13218.0753615165,342,CA,CAD,2021-06-14,2021-06-16,2021-07-11,False,True,Dominic M.,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/sidequests/sidequests-5-more-easy-adventures-for-5e-dungeons-and-dragons,25
