name,blurb,goal,pledged,usd_pledged,backers_count,country,currency,created_at,launched_at,deadline,staff_pick,spotlight,creator,is_starrable,state,category,is_liked,is_disliked,url,campaign_day_length
Tanares RPG - 5e,"RPG Adventure + Supplement for 5th Edition, with Ed Greenwood, Amy Vorpahl, Skip Williams, and many other legends!",50000.0,2100242.0,2100242.0,9403,US,USD,2020-04-13,2021-08-31,2021-09-30,True,True,Dragori Games,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/dragorigames/tanares-rpg,30
Heliana's Guide To Monster Hunting: A 5e Supplement,"Level up your game with epic monster hunts, tracking, harvesting, and crafting.",15000.0,1845422.69,1845422.69,18082,US,USD,2021-04-07,2021-06-01,2021-07-01,True,True,Loot Tavern,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/saltybot/monsterhunting5e,30
Dungeons & Lasers Third Edition,"Modular Dungeons and fantasy Town, 132+ NPC miniatures, 5E Campaign, Dragons and Animal Companions Facebook: dungeonsandlasers",50000.0,1424662.4,1712828.706935136,9014,PL,EUR,2021-01-27,2021-05-04,2021-05-19,True,True,Archon Studio,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/archonstudio/dungeons-and-lasers-third-edition,15
"The Deck of Many Animated Spells, Tarot and More for 5e",Cast your spells and more with style!,20000.0,1310509.0,1310509.0,9871,US,USD,2020-04-21,2020-05-12,2020-06-11,True,True,Hit Point Press,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/hitpointpress/the-deck-of-many-animated-spells-tarot-and-more-for-5e,30
Dungeons of Drakkenheim,A 5e adventure where malevolent monsters and rival factions clash in a dark city devastated by a mysterious meteor shower!,20000.0,1279240.0,1279240.0,13376,US,USD,2021-04-29,2021-06-28,2021-07-31,True,True,Dungeon Dudes,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/2144996758/dungeons-of-drakkenheim,33
Auroboros: Coils of the Serpent,An epic 5E fantasy campaign setting by Chris Metzen.,50000.0,1260863.0,1260863.0,10218,US,USD,2021-03-10,2021-04-20,2021-05-21,True,True,Warchief Gaming,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/warchief/auroboros,31
Humblewood Campaign Setting for 5e DND,"Humblewood is a campaign setting for 5e DND that includes new birdfolk player races, new monsters, compelling adventure and more!",20000.0,1001085.5,1001085.5,14604,US,USD,2019-02-12,2019-03-12,2019-04-11,False,True,Hit Point Press,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/hitpointpress/humblewood-campaign-setting-for-5e-dnd,30
Animal Adventures: The Faraway Sea,"5e RPG campaign where mystical islands appear from a magical fog known as The Rift, inc. 10 new player species, 30+ minis, & more! 🏝",50000.0,543996.55,748339.682225667,7611,GB,GBP,2021-05-10,2021-07-20,2021-07-30,True,True,Russ Charles,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/russrmc/animal-adventures-the-faraway-sea,10
Encyclopedia: Lore Book & Toolbox for your 5E Campaign 🛠️,"Level-up your 5th Edition campaign with this 360-page tome featuring dozens of ready-to-use cities, locations, NPCs and magic items.",20000.0,711432.0,711432.0,8323,US,USD,2021-02-06,2021-03-08,2021-04-02,True,True,Jim Searcy,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/1176616619/encyclopedia-complete-lore-book-for-5e,25
Valda's Spire of Secrets: A Colossal Expansion for DnD 5E,"Unleash 5e with this compendium of groundbreaking classes, spells, feats, and more!",40000.0,704467.01,704467.01,7710,US,USD,2021-07-02,2021-08-31,2021-09-30,False,True,Mage Hand Press,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/magehandpress/spire-of-secrets,30
More Magic items for 5e: The Griffon's Saddlebag | Book One,"A 200-page compendium of 365 game-ready, illustrated items and more for 5th edition. Give out better treasure!",10000.0,663131.0,663131.0,8495,US,USD,2020-03-01,2020-03-12,2020-04-11,True,True,Griffin Macaulay,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/thegriffonssaddlebag/more-magic-items-for-5e-the-griffons-saddlebag-book-one,30
Heckna! Carnival Horror Campaign Setting for 5e DnD,Will you see through the glitzy and glamorous charade or fall prey to Heckna’s everlasting torment?,20000.0,653970.0,653970.0,6661,US,USD,2020-08-12,2020-09-08,2020-10-08,True,True,Hit Point Press,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/hitpointpress/heckna-cosmic-carnival-horror-campaign-setting-for-5e-dnd,30
Quest-O-Nomicon,"A 5e compendium of early level quests and adventures, led by the comical and slightly clumsy Ser Nominus!",20000.0,620323.27,620323.27,7737,US,USD,2021-06-23,2021-09-07,2021-10-09,True,True,XP to Level 3,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/questonomicon/quest-o-nomicon,32
Anime 5E – Fifth Edition Fantasy Role-Playing Reimagined,"Unleash your anime and manga fantasy adventures with a balanced, point-based approach to the world's most popular Fifth Edition RPG!",10000.0,608702.53,608702.53,8073,US,USD,2021-03-01,2021-03-30,2021-04-22,False,True,Dyskami Publishing,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/dyskami/anime-5e-fifth-edition-fantasy-role-playing-reimagined,23
IRON KINGDOMS: REQUIEM *5e*,The Iron Kingdoms Roleplaying Game setting for 5e.,100000.0,594119.0,594119.0,6835,US,USD,2021-01-07,2021-01-26,2021-02-12,False,True,Privateer Press,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/privateerpress/iron-kingdoms-requiem-5e,17
Level Up: Advanced 5th Edition,Level up your 5E game! The standalone advanced 5E tabletop RPG which adds depth and diversity to the game you love! #levelup5e,30000.0,424657.0,574761.01088526,3488,GB,GBP,2020-08-07,2021-10-05,2021-11-05,False,False,Morrus,True,live,Tabletop Games,False,False,https://www.kickstarter.com/projects/enworld/level-up-advanced-5th-edition-a5e,31
Ruins of Symbaroum for 5E,"The acclaimed dark fantasy world of Symbaroum adapted for 5E, introducing custom rules, origins, classes, creatures and more",200000.0,4765402.81,556678.4874728427,4396,SE,SEK,2021-03-18,2021-04-13,2021-05-06,True,True,Free League,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/1192053011/ruins-of-symbaroum-for-5e,23
Creatures: Complete Monster Compendium for 5E,"200 monsters & NPCs + exclusive archetypes, rules, and playable species for your campaign, by the most awarded French RPG studio.",20000.0,531172.0,531172.0,7587,US,USD,2020-06-28,2020-09-08,2020-10-02,True,True,Jim Searcy,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/1176616619/book-of-creatures-200-npcs-and-monsters-for-5th-edition,24
"Arcana of the Ancients, a 5E science-fantasy sourcebook","A sourcebook that brings the science-fantasy stylings of Numenera to 5E, written by designers very experienced with both games.",50000.0,520207.0,520207.0,5536,US,USD,2019-03-04,2019-03-12,2019-04-12,False,True,Monte Cook Games,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/montecookgames/arcana-of-the-ancients-a-5e-science-fantasy-source,31
Inferno - Dante's Guide to Hell for 5e,Inferno is the first original Dantesque Campaign Setting for the 5th Edition of the most important RPG ever created.,20000.0,412820.0,491058.9509112,3935,IT,EUR,2021-01-11,2021-03-23,2021-04-09,False,True,Acheron Books,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/acherongames/inferno-dantes-guide-to-hell-for-5e,17
Return to Planet Apocalypse,New Hells for the renowned Planet Apocalypse boardgame PLUS a D&D 5e sourcebook to bring the Apocalypse to your campaign!,50000.0,491217.32,491217.32,3854,US,USD,2020-07-29,2020-09-21,2020-10-05,True,True,Sandy Petersen,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/petersengames/return-to-planet-apocalypse,14
Animal Adventures: Secrets of Gullet Cove,"Introducing Gullet Cove, a magical campaign setting for 5e DnD that brings new cat, dog & monster minis to life for your tabletop RPG!",40000.0,370302.78,483578.6633169738,5884,GB,GBP,2019-12-16,2020-01-28,2020-02-11,False,True,Russ Charles,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/russrmc/animal-adventures-secrets-of-gullet-cove,14
Odyssey of the Dragonlords: 5th Edition Adventure Book,An epic adventure book for 5E. Blends classic fantasy with Greek mythology. From the lead designer of Baldur's Gate I & II and KOTOR.,50000.0,456332.0,456332.0,8239,US,USD,2019-03-12,2019-04-16,2019-05-16,False,True,Arcanum Worlds,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/arcanumworlds/odyssey-of-the-dragonlords-5th-edition-adventure-b,30
The Delver's Guide to Beast World: a 5e Supplement & Setting,Beasts & Brethren in Dungeons & Wagons,30000.0,441449.71,441449.71,4445,US,USD,2021-06-07,2021-08-31,2021-09-30,True,True,Heartleaf Games,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/heartleafgames/the-delvers-guide-to-beast-world,30
Tome of Heroes: 5th Edition Character Options for Your Game,"New 5E options to level up your heroes with new subclasses, variant races, high magic, and a treasury of new gear! Adventure awaits!",50000.0,378775.0,378775.0,6879,US,USD,2021-07-13,2021-08-09,2021-09-08,False,True,Kobold Press,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/deepmagic/tome-of-heroes-5th-edition-character-options-for-your-game,30
The Deck of Many Animated Spells: DnD 5E Spell Cards,Fling powerful magics with style using The Deck of Many's unabridged Animated Spell Cards for DnD 5e.,20000.0,368807.0,368807.0,3728,US,USD,2018-07-26,2018-09-04,2018-10-04,False,True,Hit Point Press,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/hitpointpress/the-deck-of-many-animated-spells-dnd-5e-spell-card,30
Hexbound: A Witchy Supplement for 5e,Bewitch both Players and GMs alike with this brand new supplement!,20000.0,358507.47,358507.47,5096,US,USD,2020-12-14,2021-02-09,2021-03-11,True,True,Hit Point Press,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/hitpointpress/hexbound-a-witchy-supplement-for-5e,30
Worlds of Web DM: Weird Wastelands,A supplement for 5e D&D that gives you everything you need to play great games in places adversely affected by magical forces.,18500.0,343633.1,343633.1,4948,US,USD,2021-04-15,2021-06-09,2021-07-11,False,True,Web DM,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/webdm/worlds-of-web-dm-weird-wastelands,32
The Corpus Collection: Good & Evil Supplements for 5E,"Books of Good and Evil supplements for DND 5e, with over 900 pages of content for both players and GMs",12631.0,231862.8,321196.555084392,3080,GB,GBP,2021-01-05,2021-08-17,2021-09-16,False,True,Dream Realm Storytellers,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/corpusmalicious/corpus-angelus-and-corpus-malicious-codex-of-good-and-evil-5e,30
Menagerie of Magic: A collection of Magic items for DnD 5e,A 250+ page compendium of Magical items for use in Dungeons and Dragons 5th edition.,10000.0,250766.5,310198.328513555,7370,GB,GBP,2020-04-12,2020-04-27,2020-06-06,False,True,Adam O'Brien,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/spell-sleuth/menagerie-of-magic-a-collection-of-magic-items-for-dnd-5e,40
The Lazy DM's Companion,A book of 5e RPG guidelines and inspirational generators to help D&D DMs prepare and run awesome tabletop fantasy roleplaying games.,15000.0,304596.69,304596.69,8274,US,USD,2021-08-30,2021-09-28,2021-10-28,False,False,Mike Shea,True,live,Tabletop Games,False,False,https://www.kickstarter.com/projects/slyflourish/the-lazy-dms-companion,30
Uncharted Lands: Book & STL Collection,A New Lost Adventures 5E Supplement & All-In-One STL Collection,35000.0,303092.5,303092.5,3798,US,USD,2021-07-12,2021-08-03,2021-08-31,False,True,Danny Herrero,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/3dprintingdm/uncharted-lands-book-and-stl-collection,28
"5e/PF2 Battlezoo Bestiary, Monster Hunting, Pirates, Dragons","Craft ANY gear from slain monsters, 100+ new monsters, play a Dragon, level 1-11 pirate adventure, Monster Hunting, Blue Mage, & more!",20000.0,301808.0,301808.0,3190,US,USD,2021-06-30,2021-08-31,2021-10-01,False,True,Roll For Combat,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/rollforcombat/rpg-superstar-battlezoo-bestiary,31
Sirens: Battle of the Bards,5E Campaign and Setting in a City of Artists where Bards Inspire Revolution,20000.0,299164.0,299164.0,2965,US,USD,2021-01-09,2021-04-22,2021-05-22,True,True,Apotheosis Studios,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/stonejamison/sirens-battle-of-the-bards,30
IRON KINGDOMS: BORDERLANDS AND BEYOND,A 5E Roleplaying Game expansion for the Iron Kingdoms: Requiem campaign setting.,100000.0,290094.0,290094.0,3190,US,USD,2021-09-23,2021-10-12,2021-10-28,False,False,Privateer Press,True,live,Tabletop Games,False,False,https://www.kickstarter.com/projects/privateerpress/iron-kingdoms-borderlands-and-beyond,16
Nightfell: Horror Fantasy Setting for 5e,"Nightfell is a Horror Fantasy setting, a grimdark world under the influence of the Moon, for 5th Edition.",10000.0,242703.9,272794.496987691,3282,IT,EUR,2020-06-17,2020-06-30,2020-07-30,False,True,Angelo Peluso,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/278542219/nightfell-horror-fantasy-setting-for-5e-0,30
Damage Dice: roll with power for D&D 5e,"A set of special dice designed to add style, theme and function to every damage roll in Dungeons and Dragons 5th Edition.",5000.0,273161.0,273161.0,2512,US,USD,2019-05-22,2019-09-17,2019-10-17,False,True,Al McWilliams,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/damagedice/damage-dice-roll-with-power,30
Dark Matter Starter Set: Science Fiction for DnD 5E,"Dark Matter is a rip-roaring futuristic campaign setting, which lets you play DnD in Space without learning a new system.",25000.0,264628.0,264628.0,2893,US,USD,2020-06-22,2020-07-29,2020-09-07,False,True,Mage Hand Press,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/magehandpress/dark-matter-starter-set-science-fiction-for-dnd-5e,40
Alkander's Almanac of All Things,"A Modular 5e Rules Expansion for Combat, Exploration, & Social Encounters",10000.0,251389.3,251389.3,3514,US,USD,2021-04-05,2021-07-01,2021-08-01,False,True,The Dungeon Coach,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/thedungeoncoach/alkanders-almanac-of-all-things,31
Svilland: 5E Norse Setting & Freyja's Tears A Grim Adventure,"Svilland: The True Norse Setting for DnD 5E is coming with its anticipated reprint and a grim adventure, Freyja's Tears",3527.0,189398.42,243242.9153923082,3849,GB,GBP,2020-06-26,2020-07-28,2020-08-27,True,True,Dream Realm Storytellers,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/corpusmalicious/svilland-5e-norse-setting-and-freyjas-tears-a-grim-adventure,30
Sandy Petersen's Cthulhu Mythos for 5e,"The definitive guide by Sandy Petersen. New rules, monsters, classes, spells, etc. for the Cthulhu Mythos.",10000.0,231279.88,231279.88,4312,US,USD,2018-08-14,2018-10-01,2018-10-22,True,True,Sandy Petersen,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/petersengames/sandy-petersens-cthulhu-mythos-for-5e,21
The Darkest House,A descent into horror for 5e or any RPG that will make your campaign and characters better—optimized for an awesome online experience.,45000.0,222860.0,222860.0,3038,US,USD,2021-02-17,2021-03-16,2021-04-02,True,True,Monte Cook Games,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/montecookgames/the-darkest-house,17
Roll & Play: The Fantasy Character Kit – For GMs and Players,"A book full of random tables to help you create unique NPCs and characters for all fantasy RPGs, including 5e!",10000.0,158255.0,221904.23520825,4957,GB,GBP,2020-11-14,2021-02-23,2021-03-25,True,True,Roll & Play Press,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/rollandplaypress/roll-and-play-the-fantasy-character-kit,30
"The Ultimate Guide to Alchemy, Crafting & Enchanting for 5E","A brand new approach to crafting, and hundreds of new magic items, for the world's greatest roleplaying game!",20000.0,215371.0,215371.0,4560,US,USD,2019-12-17,2020-02-04,2020-02-28,False,True,Nord Games,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/nordgames/the-ultimate-guide-to-alchemy-crafting-and-enchanting-for-5e,24
Rise of the Drow: Collector's Edition for D&D 5E or PFRPG,Our #1 Bestselling 600+ page Underdark setting & mega-adventure for levels 1-20 D&D 5th Edition or PFRPG in a collectible hardcover,28000.0,212825.01,212825.01,1783,US,USD,2018-03-26,2019-02-19,2019-03-21,False,True,AAW Games,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/adventureaweek/rise-of-the-drow-collectors-edition-for-dandd-5e-a,30
Trudvang Adventures - for 5E,"Trudvang Adventures, a roleplaying game for 5E",150000.0,1934145.71,197290.8504417823,2387,SE,SEK,2020-02-25,2020-05-16,2020-06-10,False,True,RiotMinds,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/riotminds/trudvang-adventures-for-5e,25
Grim Hollow: The Campaign Guide for 5th Edition,A Grim Dark fantasy setting for 5e Tabletop Role Playing.,43000.0,284145.26,193275.5831203792,4523,AU,AUD,2019-07-13,2019-08-05,2019-09-07,False,True,Ghostfire Gaming,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/977277590/grim-hollow-the-campaign-guide,33
Kibbles' Compendium of Craft and Creation,"A book of Classes, Crafting, Psionics, & More for DnD 5e!",10000.0,194420.0,194420.0,4763,US,USD,2020-09-29,2021-01-05,2021-02-04,False,True,KibblesTasty,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/kibblestasty/kibbles-compendium-of-craft-and-creation,30
The Wagadu Chronicles - Afrofantasy MMO for role-play,An Afrofantasy world to explore both as an isometric MMO  built for in-character roleplay and as a 5E-compatible tabletop setting!,100000.0,163910.3,194525.03966722,2659,DE,EUR,2020-08-30,2020-09-22,2020-10-30,True,True,Twin Drums,False,successful,Games,False,False,https://www.kickstarter.com/projects/wagadu/the-wagadu-chronicles,38
Dragons of the Red Moon,200mm gargantuan dragons from the Red Moon unlike anything you have ever seen. Resin miniatures compatible with 5e and the 9th age.,5000.0,191204.5,191204.5,2385,US,USD,2019-02-04,2019-03-19,2019-04-11,True,True,Draco Studios,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/dracostudios/dragons-of-the-red-moon,23
"Adventures in Oz: 5e Setting, Beasts, Modules & Stunning Art","L. Frank Baum's Oz setting finally comes to 5e gaming with over 500 hardcover pages, more than 100 monsters, new classes, races & maps!",40000.0,187125.0,187125.0,1923,US,USD,2019-11-05,2021-06-16,2021-07-15,False,True,Double Critical,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/doublecritical/adventures-in-oz-5th-edition-setting-and-sourcebooks,29
Wondrous Items for 5e: Dungeon Scribe - Magical Oddities,5 Printed Item Card Decks for 5e of Unique Oddities.,10000.0,185157.0,185157.0,1933,US,USD,2021-03-25,2021-08-17,2021-09-16,False,True,Dungeon Scribe,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/ds-magical-oddities/cards-0,30
Tome of Summoning: The All-In-One 5e Reference System,A beautifully illustrated reference system of creatures and NPCs to streamline your DnD 5e game.,10000.0,166202.0,166202.0,1546,US,USD,2019-09-17,2020-09-09,2020-10-09,True,True,Tome of Summoning,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/tomeofsummoning/tome-of-summoning-the-5e-reference-system,30
Age of Antiquity: An Ancient World Setting for 5E.,"Archetypes, Backgrounds, Magic Items and more for 5th edition.",24000.0,163105.5,163105.5,3200,US,USD,2019-10-17,2020-05-26,2020-07-05,False,True,Aruzian Publishing,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/aruzian/age-of-antiquity,40
DRAGONLOCK: Shadowgrove Forest,3D printable fantasy terrain for your 5E RPG by Fat Dragon Games.,8500.0,162801.0,162801.0,1494,US,USD,2020-10-19,2021-09-14,2021-10-05,False,True,Tom Tullis,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/fatdragongames/dragonlock-shadowgrove-forest,21
HeroBook - The 5E Player Character Notebook,"The essential tabletop adventure companion, with a reusable character sheet, 5E rules, references & tools, all in a deluxe notebook.",40000.0,208625.79,163526.3643702138,3352,CA,CAD,2017-11-29,2018-04-24,2018-05-24,False,True,Material Components,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/materialcomponents/herobook-the-5e-player-character-notebook,30
"Witch+Craft, a 5e Supplemental",A tabletop supplemental of crafting and magic for Fifth Edition games,31000.0,161533.6,161533.6,4069,US,USD,2019-03-02,2019-03-06,2019-04-05,False,True,Astrolago Press,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/astrolago/witch-craft-a-5e-supplemental,30
The Red Opera RPG,5E Campaign and Setting in a City Where Warlocks Reign Eternal,10000.0,161312.0,161312.0,2483,US,USD,2020-05-04,2020-09-01,2020-10-01,False,True,Apotheosis Studios,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/stonejamison/the-red-opera-rpg,30
The Coins of Wonder - RPG / DnD 5e Enhancing Collector Coins,"Bring your Tabletop Game to Life with Functional Wondrous Items, each with Gameplay Mechanics & Rules for Instant Play",10000.0,125768.86,152226.7896783928,1712,GB,GBP,2020-05-04,2020-05-17,2020-06-14,False,True,Gametee,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/gametee/the-coins-of-wonder-rpg-dnd-5e-enhancing-collector-coins,28
ATLAS - Tabletop Battle Maps & Encounter Cards for DnD 5e,"Level up your table with huge, printed maps, game-ready encounter cards, & reusable stickers!",10000.0,109329.0,149090.15009163,1391,GB,GBP,2021-02-26,2021-10-12,2021-11-09,True,False,Moonlight Maps,True,live,Tabletop Games,False,False,https://www.kickstarter.com/projects/moonlightmaps/atlas-maps,28
Trudvang: Seed of Vanirs,A world setting book about the elves of Trudvang. For both RPG settings: Trudvang Chronicles and Trudvang Adventurers 5E.,200000.0,1238419.71,148886.0993484315,1539,SE,SEK,2020-05-05,2021-02-12,2021-03-05,False,True,RiotMinds,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/riotminds/trudvang-seed-of-vanirs,21
Wanderer's Guide to Merchants & Magic (5E),"A 5E sourcebook with ready-to-play magic shops, 100+ new magic items, price lists for popular items, & rules for trading magic items!",2500.0,119603.0,145902.68905465,3976,DK,EUR,2021-04-19,2021-06-01,2021-07-01,False,True,Eventyr Games,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/eventyrgames/merchants-of-magic-5e,30
Book of Monstrous Might for 5E Dungeons & Dragons DnD RPG,"An arsenal of new monsters, playable races and unusual tactics for use with the 5E Dungeons & Dragons roleplaying game (RPG)!",5000.0,139971.0,139971.0,2571,US,USD,2020-05-18,2020-06-10,2020-07-20,False,True,Brian Berg,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/brianberg/book-of-monstrous-might-for-5e-dungeons-and-dragons-dnd-rpg,40
Peculiar Discoveries : Magic Items and Companions For 5E,Color your adventure with mysteries and fairy tale : 320+ creative magic items and adorable companions.,30000.0,176778.29,138402.6860451404,2200,CA,CAD,2021-05-11,2021-08-24,2021-09-23,False,True,William Martin,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/349607276/peculiar-discoveries-magic-items-and-companions-for-5e,30
Enthralling Adventures and Incredible World for 5th Edition!,"Gooey Cube makes immersive adventures for 5e that enthrall players & make a GM’s life WAY easier. Plus, our world will blow you away!",10000.0,134180.0,134180.0,414,US,USD,2020-09-04,2020-11-10,2020-12-13,False,True,Gooey Cube,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/alphiniusgoo/enthralling-adventures-and-incredible-world-for-5th-edition,33
Survivalist's Guide to Spelunking for DnD 5th Edition,"Explore the Underworld with New York Times Best-Selling author Douglas Niles. New tools, tables, and rules for DnD 5E.",11900.0,131811.0,131811.0,3415,US,USD,2020-11-02,2021-03-03,2021-04-01,False,True,AAW Games,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/adventureaweek/dnd-survivalists-guide-to-spelunking,29
Brancalonia - The Empire Whacks Back,"The Ennie-award winning Spaghetti Fantasy RPG is back with a brand-new expansion handbook for 5e, featuring Feudalism and Freedom!",10000.0,111608.0,129956.4165844,1364,IT,EUR,2021-08-16,2021-10-21,2021-11-09,False,False,Acheron Books,True,live,Games,False,False,https://www.kickstarter.com/projects/acherongames/brancalonia-and-freedom,19
Crypt of the Devil Lich for DCC RPG and 5th Edition,An ancient prophecy sends you into the crypt of the Devil Lich! The toughest dungeon crawl since Tomb of Horrors returns for 5E & DCC!,10000.0,128814.0,128814.0,2216,US,USD,2021-02-08,2021-02-24,2021-03-25,False,True,Goodman Games,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/devillich/the-crypt-of-the-devil-lich,29
Fateforge: a 5th Edition Roleplaying Game,"A colorful campaign setting with sword & sorcery overtones. From the designers behind Shadows of Esteren, the most awarded French RPG.",15000.0,125877.0,125877.0,1713,US,USD,2019-06-22,2019-06-24,2019-07-17,True,True,Jim Searcy,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/1176616619/fateforge-a-5th-edition-role-playing-game,23
The Lost Lands: The Blight - Richard Pett's Crooked City,"Frog God Games reveals the next Lost Lands piece with The Blight, for Pathfinder, Swords & Wizardry, (and now!) 5e.",75000.0,121301.0,121301.0,795,US,USD,2015-11-13,2015-11-20,2016-01-18,True,True,Frog God Games,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/froggodgames/the-lost-lands-the-blight-richard-petts-crooked-ci,59
Corpus Malicious - The Codex of Evil for 5E,Corpus Malicious is a 400-page codex of evil supplement for DND 5th Edition with content for both players and Dungeon Masters,8120.0,94132.0,118642.61541656,2211,GB,GBP,2019-09-21,2019-10-15,2019-11-14,False,True,Dream Realm Storytellers,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/corpusmalicious/corpus-malicious-the-codex-of-evil-for-5e,30
Exalted Vales: Region and Campaign Guide for D&D 5th edition,"A roleplaying supplement for 5E, centered around mystic phenomena. Includes new classes, and a campaign of intrigue and investigation.",20000.0,160252.69,114094.9907148363,2168,CA,CAD,2020-03-13,2020-05-13,2020-06-12,False,True,TheInkPlot,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/exaltedvales/exalted-vales-region-guide-and-campaign-for-5th-edition,30
Raiders of the Serpent Sea: 5th Edition Roleplaying Book,Epic campaign for 5E. Norse mythology merged with tabletop fantasy. From the lead designer of Dragon Age: Origins & Neverwinter Nights,200000.0,144171.29,116762.5631144104,1648,CA,CAD,2021-07-18,2021-10-20,2021-11-20,False,False,Arcanum Worlds Canada,True,live,Tabletop Games,False,False,https://www.kickstarter.com/projects/arcanumworldscanada/raidersoftheserpentsea,31
Boricubos: Latin American Monsters and Adventures,A beautiful bestiary of Central & South American monsters and companion Caribbean campaign setting for DnD 5E and Pathfinder 1E & 2E,5000.0,113925.0,113925.0,2045,US,USD,2021-05-04,2021-08-17,2021-09-16,False,True,Legendary Games,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/legendarygames/boricubos-latin-american-monsters-and-adventures,30
Historia: Dark Fantasy Renaissance Setting for 5e,"A merciless world populated by anthropomorphic animal races, new classes & game options, equipment, kinds of magic, and much more!",15000.0,102012.6,112114.447701174,2130,IT,EUR,2019-04-26,2019-09-03,2019-10-04,False,True,Mana Project Studio,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/manaprojectstudio/historia-dark-fantasy-renaissance-setting-for-5e,31
The Lost City of Gaxmoor 5E,"The Lost City of Gaxmoor 5E beckons brave adventurers to explore its ruins and crypts, to vanquish the chaos and evil that lies within.",9000.0,111958.0,111958.0,1465,US,USD,2019-07-09,2019-08-14,2019-09-14,False,True,Stephen Chenault,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/ckg/the-lost-city-of-gaxmoor-5e,31
